Congresista,Región,Votación,Comisiones,Bancada
Jeri Oré José Enrique,Lima,"11,654","[['Agraria', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A']]",SOMOS PERÚ
Jiménez Heredia David Julio,Junín,"7,278","[['Ciencia, Innovación y Tecnología', 'T'], ['Constitución y Reglamento', 'A'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR
Juárez Calle Heidy Lisbeth,Piura,"19,153","[['Constitución y Reglamento', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'T']]",ALIANZA PARA EL PROGRESO
Juárez Gallegos Carmen Patricia,Lima,"40,125","[['Constitución y Reglamento', 'P'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Fiscalización y Contraloría', 'A']]",FUERZA POPULAR
Julon Irigoin Elva Edhit,Cajamarca,"9,080","[['Agraria', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Salud y Población', 'V']]",ALIANZA PARA EL PROGRESO
Kamiche Morante Luis Roberto,La Libertad,"6,035",[],PERÚ DEMOCRÁTICO
Limachi Quispe Nieves Esmeralda,Tacna,"3,125",[],PERÚ DEMOCRÁTICO
Lizarzaburu Lizarzaburu Juan Carlos Martin,Peruanos Residentes en el Extranjero,"1,773","[['Comercio Exterior y Turismo', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Relaciones Exteriores', 'T']]",FUERZA POPULAR
López Morales Jeny Luz,Ucayali,"4,576","[['Agraria', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'V'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'A'], ['Mujer y Familia', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'A']]",FUERZA POPULAR
López Ureña Ilich Fredy,Junín,"17,727","[['Agraria', 'T'], ['Constitución y Reglamento', 'A'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'S'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR
Luna Gálvez José León,Lima,"91,055","[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'P'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Presupuesto y Cuenta General de la República', 'A']]",PODEMOS PERÚ
Luque Ibarra Ruth,Cusco,"12,049","[['Constitución y Reglamento', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'V'], ['Salud y Población', 'A'], ['Trabajo y Seguridad Social', 'A']]",JUNTOS POR EL PERÚ
Málaga Trillo George Edward,Lima,"67,044","[['Ciencia, Innovación y Tecnología', 'S']]",NO AGRUPADO
Marticorena Mendoza Jorge Alfonso,Ica,"6,597","[['Ciencia, Innovación y Tecnología', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'T']]",PERÚ LIBRE
Martínez Talavera Pedro Edwin,Arequipa,"16,372","[['Comercio Exterior y Turismo', 'V'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Mujer y Familia', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR
Medina Hermosilla Elizabeth Sara,Huánuco,"11,300","[['Fiscalización y Contraloría', 'A'], ['Mujer y Familia', 'P'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T']]",PERÚ LIBRE
Medina Minaya Esdras Ricardo,Arequipa,"15,693","[['Agraria', 'A'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'P'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'A'], ['Salud y Población', 'A'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",RENOVACIÓN POPULAR
Montalvo Cubas Segundo Toribio,Amazonas,"5,268","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'V'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Transportes y Comunicaciones', 'T']]",PERÚ LIBRE
Monteza Facho Silvia María,Cajamarca,"7,171","[['Agraria', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'P'], ['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR
Montoya Manrique Jorge Carlos,Lima,"138,231","[['Ciencia, Innovación y Tecnología', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'S'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T']]",RENOVACIÓN POPULAR
Morante Figari Jorge Alberto,Loreto,"5,548","[['Agraria', 'A'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'A']]",FUERZA POPULAR
Mori Celis Juan Carlos,Loreto,"8,815","[['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR
Moyano Delgado Martha Lupe,Lima,"23,260","[['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Fiscalización y Contraloría', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Vivienda y Construcción', 'T']]",FUERZA POPULAR
Muñante Barrios Alejandro,Lima,"21,014","[['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'T'], ['Cultura y Patrimonio Cultural', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'A'], ['Salud y Población', 'T']]",RENOVACIÓN POPULAR
Obando Morgan Auristela Ana,Callao,"8,914","[['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'V'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR
Olivos Martínez Vivian,Lima Provincias,"7,785","[['Agraria', 'P'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Transportes y Comunicaciones', 'T']]",FUERZA POPULAR
Pablo Medina Flor Aidee,Lima,"53,899",[],NO AGRUPADO
Padilla Romero Javier Rommel,Lima Provincias,"6,835","[['Cultura y Patrimonio Cultural', 'V'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'T'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A']]",RENOVACIÓN POPULAR
Palacios Huamán Margot,Ayacucho,"11,781","[['Agraria', 'T'], ['Constitución y Reglamento', 'A'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'A'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'P']]",PERÚ LIBRE
Paredes Castro Francis Jhasmina,Ucayali,"3,454","[['Agraria', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'T']]",PERÚ LIBRE
Paredes Fonseca Karol Ivett,San Martín,"4,995","[['Agraria', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Educación, Juventud y Deporte', 'S'], ['Presupuesto y Cuenta General de la República', 'A'], ['Relaciones Exteriores', 'T'], ['Vivienda y Construcción', 'A']]",ACCIÓN POPULAR
Paredes Gonzales Alex Antonio,Arequipa,"18,673","[['Constitución y Reglamento', 'A'], ['Educación, Juventud y Deporte', 'V'], ['Justicia y Derechos Humanos', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Trabajo y Seguridad Social', 'A']]",PERÚ LIBRE
Paredes Piqué Susel Ana María,Lima,"76,785","[['Cultura y Patrimonio Cultural', 'T'], ['Transportes y Comunicaciones', 'T']]",NO AGRUPADO
Pariona Sinche Alfredo,Huancavelica,"9,849","[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'V'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Transportes y Comunicaciones', 'T']]",PERÚ LIBRE
Picón Quedo Luis Raúl,Huánuco,"10,812","[['Agraria', 'A'], ['Ciencia, Innovación y Tecnología', 'A'], ['Comercio Exterior y Turismo', 'T'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'T'], ['Inclusión Social y Personas con Discapacidad', 'A'], ['Presupuesto y Cuenta General de la República', 'A'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'T'], ['Salud y Población', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",ALIANZA PARA EL PROGRESO
Portalatino Ávalos Kelly Roxana,Ancash,"8,286","[['Inclusión Social y Personas con Discapacidad', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Salud y Población', 'S']]",PERÚ LIBRE
Portero López Hilda Marleny,Lambayeque,"8,568","[['Agraria', 'A'], ['Cultura y Patrimonio Cultural', 'T'], ['Inclusión Social y Personas con Discapacidad', 'V'], ['Mujer y Familia', 'T'], ['Relaciones Exteriores', 'A']]",ACCION POPULAR
Quiroz Barboza Segundo Teodomiro,Cajamarca,"16,660","[['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'T'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE
Quispe Mamani Wilson Rusbel,Puno,"28,343","[['Cultura y Patrimonio Cultural', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Presupuesto y Cuenta General de la República', 'V'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE
Quito Sarmiento Bernardo Jaime,Arequipa,"41,430","[['Constitución y Reglamento', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'P'], ['Trabajo y Seguridad Social', 'T']]",PERÚ LIBRE
Ramírez García Tania Estefany,Cajamarca,"3,240","[['Agraria', 'A'], ['Educación, Juventud y Deporte', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Mujer y Familia', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Trabajo y Seguridad Social', 'T']]",FUERZA POPULAR
Revilla Villanueva César Manuel,Piura,"6,420","[['Agraria', 'A'], ['Comercio Exterior y Turismo', 'T'], ['Energía y Minas', 'T'], ['Fiscalización y Contraloría', 'A'], ['Salud y Población', 'T'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A']]",FUERZA POPULAR
Reyes Cam Abel Augusto,Huánuco,"7,133","[['Ciencia, Innovación y Tecnología', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Inclusión Social y Personas con Discapacidad', 'P']]",PERÚ LIBRE
Reymundo Mercado Edgard Cornelio,Junín,"7,912","[['Constitución y Reglamento', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Fiscalización y Contraloría', 'S'], ['Presupuesto y Cuenta General de la República', 'T']]",JUNTOS POR EL PERÚ
Rivas Chacara Janet Milagros,Lima Provincias,"4,455","[['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Inteligencia', 'T'], ['Mujer y Familia', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'S'], ['Relaciones Exteriores', 'T']]",PERÚ LIBRE
Robles Araujo Silvana Emperatriz,Junín,"11,893","[['Cultura y Patrimonio Cultural', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Relaciones Exteriores', 'T'], ['Salud y Población', 'T']]",PERÚ LIBRE
Ruíz Rodríguez Magaly Rosmery,La Libertad,"16,689","[['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Fiscalización y Contraloría', 'T'], ['Mujer y Familia', 'T']]",ALIANZA PARA EL PROGRESO
Saavedra Casternoque Hitler,Loreto,"7,654","[['Ciencia, Innovación y Tecnología', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Salud y Población', 'P'], ['Vivienda y Construcción', 'A']]",SOMOS PERÚ
Salhuana Cavides Eduardo,Madre de Dios,"3,013","[['Constitución y Reglamento', 'T'], ['Energía y Minas', 'S'], ['Transportes y Comunicaciones', 'A']]",ALIANZA PARA EL PROGRESO
Sánchez Palomino Roberto Helbert,Lima,"29,825","[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T']]",JUNTOS POR EL PERÚ
Soto Palacios Wilson,Huancavelica,"7,145","[['Agraria', 'A'], ['Constitución y Reglamento', 'T'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'A'], ['Presupuesto y Cuenta General de la República', 'T'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",ACCION POPULAR
Soto Reyes Alejandro,Cusco,"29,073","[['Fiscalización y Contraloría', 'A'], ['Trabajo y Seguridad Social', 'A'], ['Transportes y Comunicaciones', 'P']]",ALIANZA PARA EL PROGRESO
Tacuri Valdivia Germán Adolfo,Ayacucho,"11,547","[['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'P'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'T'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T']]",PERÚ LIBRE
Taipe Coronado María Elizabeth,Apurímac,"8,643","[['Agraria', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'A']]",PERÚ LIBRE
Tello Montes Nivardo Edgar,Lima,"5,133","[['Ciencia, Innovación y Tecnología', 'T'], ['Comercio Exterior y Turismo', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Educación, Juventud y Deporte', 'T'], ['Transportes y Comunicaciones', 'T'], ['Vivienda y Construcción', 'A']]",PERÚ LIBRE
Torres Salinas Rosio,Loreto,"5,179","[['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'S'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T']]",ALIANZA PARA EL PROGRESO
Trigozo Reátegui Cheryl,San Martín,"16,574","[['Comercio Exterior y Turismo', 'T'], ['Cultura y Patrimonio Cultural', 'T'], ['Transportes y Comunicaciones', 'T']]",ALIANZA PARA EL PROGRESO
Tudela Gutiérrez Adriana Josefina,Lima,"47,139","[['Constitución y Reglamento', 'S'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'T'], ['Relaciones Exteriores', 'T'], ['Trabajo y Seguridad Social', 'T']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Ugarte Mamani Jhakeline Katy,Cusco,"12,700","[['Comercio Exterior y Turismo', 'T'], ['Cultura y Patrimonio Cultural', 'S'], ['Mujer y Familia', 'T']]",PERÚ LIBRE
Valer Pinto Héctor,Lima,"20,948",[],PERÚ DEMOCRÁTICO
Varas Meléndez Elías Marcial,Áncash,"6,328","[['Fiscalización y Contraloría', 'T'], ['Presupuesto y Cuenta General de la República', 'A'], ['Salud y Población', 'T'], ['Vivienda y Construcción', 'T']]",PERÚ LIBRE
Vásquez Vela Lucinda,San Martín,"8,778","[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'T'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'T'], ['Fiscalización y Contraloría', 'T']]",PERÚ LIBRE
Ventura Angel Héctor José,Tumbes,"3,361","[['Agraria', 'T'], ['Constitución y Reglamento', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'P'], ['Justicia y Derechos Humanos', 'S'], ['Presupuesto y Cuenta General de la República', 'A']]",FUERZA POPULAR
Vergara Mendoza Elvis Hernán,Ucayali,"4,486","[['Agraria', 'A'], ['Comercio Exterior y Turismo', 'A'], ['Constitución y Reglamento', 'A'], ['Defensa del Consumidor y Organismos Reguladores de los Servicios Públicos', 'A'], ['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'A'], ['Fiscalización y Contraloría', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Presupuesto y Cuenta General de la República', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A']]",ACCION POPULAR
Williams Zapata José Daniel,Lima,"44,789","[['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'P'], ['Educación, Juventud y Deporte', 'A'], ['Inteligencia', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'T'], ['Vivienda y Construcción', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Wong Pujada Enrique,Callao,"11,384","[['Educación, Juventud y Deporte', 'A'], ['Fiscalización y Contraloría', 'V']]",PODEMOS PERÚ
Yarrow Lumbreras Norma Martina,Lima,"51,103","[['Descentralización, Regionalización, Gobiernos Locales y Modernización de la Gestión del Estado', 'P'], ['Inclusión Social y Personas con Discapacidad', 'T'], ['Pueblos Andinos, Amazónicos y Afroperuanos, Ambiente y Ecología', 'A'], ['Salud y Población', 'A'], ['Transportes y Comunicaciones', 'A']]",AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL
Zea Choquechambi Oscar,Puno,"34,450","[['Agraria', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Economía, Banca, Finanzas e Inteligencia Financiera', 'T'], ['Energía y Minas', 'A'], ['Fiscalización y Contraloría', 'A'], ['Presupuesto y Cuenta General de la República', 'A']]",PERÚ LIBRE
Zeballos Aponte Jorge Arturo,Lima Peruanos en el exterior,"4,691","[['Comercio Exterior y Turismo', 'T'], ['Defensa Nacional, Orden interno, Desarrollo alternativo y Lucha contra las Drogas', 'A'], ['Relaciones Exteriores', 'V']]",RENOVACIÓN POPULAR
Zeballos Madariaga Carlos Javier,Puno,"23,883","[['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T']]",PERÚ DEMOCRÁTICO
Zeta Chunga Cruz María,Piura,"10,079","[['Agraria', 'A'], ['Educación, Juventud y Deporte', 'A'], ['Energía y Minas', 'T'], ['Justicia y Derechos Humanos', 'T'], ['Mujer y Familia', 'T'], ['Producción, Micro y Pequeña Empresa y Cooperativas', 'A'], ['Relaciones Exteriores', 'A'], ['Trabajo y Seguridad Social', 'T'], ['Transportes y Comunicaciones', 'A'], ['Vivienda y Construcción', 'A']]",FUERZA POPULAR
